,Unnamed: 0,Latest dataavailable,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
0,Albania,60,60,66,15,31,18,-,16,15,15,7,9,4,13,7,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Andorra,5,-,-,-,-,-,-,-,5,15,11,15,18,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Armenia,75,-,75,71,66,57,74,45,37,30,48,46,42,53,-,42,24,26,42,-,-,-,-,-,-,-,-,-,-,-,-
3,Austria,2835,-,-,-,-,-,2835,2841,2736,2559,2574,2468,2225,2482,2530,2655,2852,2711,3068,2860,3046,3227,3025,3341,-,-,4146,4219,4229,4022,4001
4,Azerbaijan,81,-,81,84,94,96,74,85,78,82,94,74,78,84,88,96,88,93,96,86,127,-,-,-,-,128,-,-,-,-,-
5,Belarus,755,-,-,-,-,-,755,722,785,680,737,751,1408,1459,1491,1464,1491,1526,1720,1127,1773,1707,-,-,-,-,-,-,-,-,-
6,Belgium,4102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4102,4250,1057,1057,1057,-,-,-,-,-,-,-,-
7,Bosnia and Herzegovina,270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Bulgaria,420,-,-,-,-,-,420,420,440,429,472,491,530,592,452,618,-,-,1338,913,1014,893,808,-,-,-,-,-,-,-,-
9,Croatia,3944,3944,4234,4652,4110,3716,3550,3909,3300,3234,3316,2883,2698,-,-,-,-,-,1743,1700,2042,2175,2226,2416,2159,2272,-,-,-,-,-
10,Cyprus,293,-,293,270,181,175,18,48,60,52,50,43,57,41,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Czechia,2334,-,2334,-,-,-,2787,3404,3779,3557,3566,3714,3882,4266,4204,4380,4463,4010,4238,3427,4536,2113,2136,1970,1923,2092,2256,2356,2193,2125,2243
12,Denmark,1085,-,-,-,-,-,1085,1189,1230,1140,1272,1202,1126,1260,1247,1282,1349,1423,1534,1491,1613,1975,1929,2054,-,-,2292,2315,2324,2500,2622
13,Estonia,569,-,-,-,-,-,569,556,642,529,447,432,537,499,-,629,-,-,367,555,505,-,-,-,-,340,-,-,-,-,573
14,Finland,1009,-,-,-,-,-,1009,993,916,942,971,994,1018,983,999,1103,788,894,1205,1554,1626,1558,1276,1116,1107,932,871,861,913,847,818
15,France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Georgia,378,-,378,-,-,-,-,123,-,123,115,120,148,131,136,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Germany,24245,-,-,-,-,-,-,24245,25333,25690,27375,28350,28736,32884,34468,36966,39892,40998,40823,41603,36094,-,-,-,-,-,-,-,-,-,-
18,Greece,1452,-,-,-,-,-,1452,1414,1515,1897,2119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Hungary,2909,-,-,-,-,-,2909,2450,2440,2138,2062,2225,2379,3197,2231,2438,2664,2581,3945,4008,4258,3724,3002,2837,-,-,3583,3716,3433,3299,3354
20,Iceland,23,-,-,-,-,-,23,36,42,45,56,58,44,-,65,67,64,58,53,52,50,38,57,75,90,-,68,71,60,43,90
21,Ireland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Israel,473,-,473,543,544,307,328,320,299,298,256,213,167,139,151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Italy,2901,-,-,-,-,-,-,-,2901,2713,3311,2974,2726,2709,2727,2443,1751,1274,1091,974,221,201,-,157,124,184,126,134,138,135,137
24,Kazakhstan,1232,-,-,-,-,-,1232,1264,2278,1811,1274,1214,3209,2987,2607,3145,2604,2341,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Kyrgyzstan,310,-,-,-,-,-,310,291,304,350,302,261,298,310,300,279,-,377,472,672,-,720,541,419,364,-,-,-,-,-,-
26,Latvia,746,-,-,-,-,-,746,837,904,893,1272,1403,1420,1284,1250,1375,916,971,972,1006,1071,-,-,-,-,-,-,-,-,-,-
27,Lithuania,990,-,-,-,-,-,990,888,995,1031,1109,1109,1167,1001,833,711,755,854,781,1152,1001,-,-,-,-,-,-,-,-,-,-
28,Luxembourg,141,-,-,-,-,-,-,141,190,159,193,187,220,191,-,-,-,-,180,180,180,199,211,236,-,-,237,197,219,264,283
29,Malta,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Monaco,16,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Montenegro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Netherlands,2071,-,-,-,-,-,-,2071,2156,2232,2433,2546,2511,-,-,2559,1009,981,2455,2753,2864,-,-,-,-,3712,-,-,-,-,4472
33,North Macedonia,133,-,133,144,224,261,203,207,165,115,144,203,233,249,321,377,368,409,146,261,315,368,271,396,372,386,353,-,285,-,279
34,Norway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Poland,5781,-,-,-,-,-,5781,6913,7801,7432,9367,9319,10953,12426,10147,11058,10940,10123,10606,11730,11329,9320,7754,7557,-,8559,9171,9836,9324,-,-
36,Portugal,2182,-,-,-,-,-,-,-,-,-,-,2182,-,1766,2057,1863,2030,2572,2417,2289,1845,1831,1907,2567,-,-,-,-,-,-,-
37,Republic of Moldova,326,-,-,326,291,254,-,280,262,342,335,309,419,528,492,422,254,251,479,-,-,-,-,-,-,-,-,-,-,-,-
38,Romania,302,-,-,-,-,-,-,302,255,452,542,577,479,794,877,913,821,747,527,424,386,394,394,-,-,-,-,658,779,-,686
39,Russian Federation,15835,15835,18191,-,-,26904,31028,34500,34103,31839,33320,34672,36009,35760,37734,41772,44557,45607,46853,66840,69781,-,-,-,-,-,-,-,-,-,-
40,San Marino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Serbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Slovakia,1377,-,1377,1461,1330,1244,1125,1107,1032,1202,1151,1170,1342,1305,1236,1278,1368,1463,1603,2925,3124,2356,2250,2208,2149,2190,-,-,-,-,2282
43,Slovenia,1764,-,-,-,-,-,1764,1778,1550,1539,1531,1296,1259,1764,1576,-,-,-,757,687,569,720,728,775,690,656,754,739,1072,-,581
44,Spain,4124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4124,3739,3344,3456,3544,3306,-,-,-,-,2277,2006,1286
45,Sweden,1056,-,-,-,-,-,1056,1143,1012,970,852,787,772,749,-,773,703,971,1038,1170,1315,1584,1296,-,1244,1047,-,-,-,-,1233
46,Switzerland,2134,-,2134,2178,2264,2050,2271,2427,2506,2454,2493,2469,2358,2172,2147,2303,2547,2504,2322,2762,2644,2722,2845,-,-,-,-,-,-,-,-
47,Tajikistan,20,-,-,-,-,-,-,-,-,20,24,-,-,-,-,60,76,-,125,148,-,-,-,-,-,-,-,-,-,-,-
48,Turkey,3256,-,-,3256,2832,1294,-,18847,12491,2429,2839,1613,-,-,-,-,-,-,12843,12178,11555,11008,12342,13921,11809,3179,-,-,-,-,-
49,Turkmenistan,80,-,-,-,-,-,-,-,-,-,-,80,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,Ukraine,2911,2911,3518,6385,3337,3020,2989,2984,2865,3146,3347,3915,4430,5022,5748,5358,5607,6091,6773,7702,8307,7681,-,-,-,-,-,-,-,-,-
51,United Kingdom,11220,-,-,-,-,-,11220,12400,13150,12270,11800,11050,10100,10710,10870,10180,9900,9480,10790,11690,13210,14390,14520,15560,16940,17260,17320,17130,18800,17040,18570
52,Uzbekistan,540,-,-,-,-,-,-,-,-,-,-,-,-,540,699,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,WHO European Region,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,Members of the European Union,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,Members of the EU before May 2004 (EU15),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,Members of the EU after May 2004 (EU13),29709,-,-,-,-,-,-,-,-,-,-,-,-,29709,25799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Commonwealth of Independent States,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,Central Asian Republics Information Network members (CARINFONET),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,South-eastern Europe Health Network members (SEEHN),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,Nordic countries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,Small countries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
